maven/mavencentral/ch.qos.logback/logback-classic/1.2.3, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.3, EPL-1.0, approved, CQ13635
maven/mavencentral/com.eclipsesource.minimal-json/minimal-json/0.9.5, MIT, approved, CQ10061
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.11.4, Apache-2.0, approved, CQ22713
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.11.4, Apache-2.0, approved, CQ23093
maven/mavencentral/com.fasterxml.jackson.dataformat/jackson-dataformat-cbor/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.11.4, Apache-2.0, approved, CQ22138
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-paranamer/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-scala_2.13/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.ben-manes.caffeine/caffeine/2.8.8, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jnr/jffi/1.2.18, Apache-2.0 OR LGPL-3.0-or-later, approved, CQ16228
maven/mavencentral/com.github.jnr/jnr-a64asm/1.0.0, Apache-2.0, approved, CQ22814
maven/mavencentral/com.github.jnr/jnr-constants/0.9.12, Apache-2.0, approved, CQ16224
maven/mavencentral/com.github.jnr/jnr-ffi/2.1.9, Apache-2.0 AND MIT, approved, CQ16225
maven/mavencentral/com.github.jnr/jnr-x86asm/1.0.2, MIT, approved, CQ9094
maven/mavencentral/com.github.luben/zstd-jni/1.4.4-7, BSD-2-Clause, approved, CQ22420
maven/mavencentral/com.github.scullxbones/akka-persistence-mongo-common_2.13/3.0.6, Apache-2.0, approved, CQ22421
maven/mavencentral/com.github.scullxbones/akka-persistence-mongo-scala_2.13/3.0.6, Apache-2.0, approved, CQ22422
maven/mavencentral/com.google.dagger/dagger/2.27, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.hierynomus/asn-one/0.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.hivemq/hivemq-mqtt-client/1.2.1, Apache-2.0, approved, CQ22424
maven/mavencentral/com.lightbend.akka.discovery/akka-discovery-kubernetes-api_2.13/1.0.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.lightbend.akka.management/akka-lease-kubernetes_2.13/1.0.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.lightbend.akka.management/akka-management_2.13/1.0.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.lightbend.akka.management/akka-management-cluster-bootstrap_2.13/1.0.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.lightbend.akka.management/akka-management-cluster-http_2.13/1.0.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.newmotion/akka-rabbitmq_2.13/5.1.2, Apache-2.0, approved, CQ22425
maven/mavencentral/com.rabbitmq/amqp-client/5.7.3, MPL-2.0 OR GPL-2.0 OR Apache-2.0, approved, CQ22747
